,total shots,total shots on target,team goal,team matches played,total shots out target,goals from total shorts pct,goals from shot on target pct,shot on target pct,total shots per match,shots on target per match,goal per match
Albania,33,12,3,3,21,9.090909090909092,25.0,36.36363636363637,11.0,4.0,1.0
Austria,51,22,7,4,29,13.725490196078432,31.818181818181817,43.13725490196079,12.75,5.5,1.75
Belgium,53,20,2,4,33,3.7735849056603774,10.0,37.735849056603776,13.25,5.0,0.5
Croatia,44,19,3,3,25,6.8181818181818175,15.789473684210526,43.18181818181818,14.666666666666666,6.333333333333333,1.0
Czechia,44,20,3,3,24,6.8181818181818175,15.0,45.45454545454545,14.666666666666666,6.666666666666667,1.0
Denmark,53,16,2,4,37,3.7735849056603774,12.5,30.18867924528302,13.25,4.0,0.5
England,76,25,8,7,51,10.526315789473683,32.0,32.89473684210527,10.857142857142858,3.5714285714285716,1.1428571428571428
France,96,24,4,6,72,4.166666666666666,16.666666666666664,25.0,16.0,4.0,0.6666666666666666
Georgia,30,9,5,4,21,16.666666666666664,55.55555555555556,30.0,7.5,2.25,1.25
Germany,95,34,11,5,61,11.578947368421053,32.35294117647059,35.78947368421053,19.0,6.8,2.2
Hungary,31,11,2,3,20,6.451612903225806,18.181818181818183,35.483870967741936,10.333333333333334,3.6666666666666665,0.6666666666666666
Italy,44,10,3,4,34,6.8181818181818175,30.0,22.727272727272727,11.0,2.5,0.75
Netherlands,81,22,10,6,59,12.345679012345679,45.45454545454545,27.160493827160494,13.5,3.6666666666666665,1.6666666666666667
Poland,37,13,3,3,24,8.108108108108109,23.076923076923077,35.13513513513514,12.333333333333334,4.333333333333333,1.0
Portugal,88,26,5,5,62,5.681818181818182,19.230769230769234,29.545454545454547,17.6,5.2,1.0
Romania,37,16,4,4,21,10.81081081081081,25.0,43.24324324324324,9.25,4.0,1.0
Scotland,17,3,2,3,14,11.76470588235294,66.66666666666666,17.647058823529413,5.666666666666667,1.0,0.6666666666666666
Serbia,26,6,1,3,20,3.8461538461538463,16.666666666666664,23.076923076923077,8.666666666666666,2.0,0.3333333333333333
Slovakia,50,16,4,4,34,8.0,25.0,32.0,12.5,4.0,1.0
Slovenia,36,9,2,4,27,5.555555555555555,22.22222222222222,25.0,9.0,2.25,0.5
Spain,122,44,15,7,78,12.295081967213115,34.090909090909086,36.0655737704918,17.428571428571427,6.285714285714286,2.142857142857143
Switzerland,57,21,8,5,36,14.035087719298245,38.095238095238095,36.84210526315789,11.4,4.2,1.6
Turkiye,72,23,8,5,49,11.11111111111111,34.78260869565217,31.944444444444443,14.4,4.6,1.6
Ukraine,39,11,2,3,28,5.128205128205128,18.181818181818183,28.205128205128204,13.0,3.6666666666666665,0.6666666666666666
